[{'A': 0.2009460689789554, 'C': 0.2436645297619615, 'E': 0.18188546892920754, 'G': 0.21664329035923402}, {'A': -0.2019460689789554, 'C': -0.2446645297619615, 'E': -0.18288546892920754, 'G': -0.21764329035923402}, {'B': 0.34396337168928687, 'D': 0.374046602260721, 'F': 0.15003481586768144, 'H': 0.07646253077242846}, {'B': -0.34496337168928687, 'D': -0.375046602260721, 'F': -0.15103481586768144, 'H': -0.07746253077242846}, {'A': 0.3580177860454331, 'C': 0.35717195862168355, 'E': 0.2790063911295978, 'G': 0.27961381797120455}, {'A': -0.3590177860454331, 'C': -0.35817195862168355, 'E': -0.2800063911295978, 'G': -0.28061381797120455}, {'B': 0.49068814947574924, 'D': 0.3078594309890813, 'F': 0.3554792759305345, 'H': 0.32906003865079886}, {'B': -0.49168814947574924, 'D': -0.3088594309890813, 'F': -0.3564792759305345, 'H': -0.33006003865079886}, {'B': 0.26041125019217337, 'D': 0.4863088831425707, 'F': 0.1632851411983693, 'H': 0.20607090933692845}, {'B': -0.26141125019217337, 'D': -0.4873088831425707, 'F': -0.1642851411983693, 'H': -0.20707090933692845}, {'B': 0.16505929151340634, 'D': 0.472185867115984, 'F': 0.3212356243491893, 'H': 0.26353090621510084}, {'B': -0.16605929151340634, 'D': -0.473185867115984, 'F': -0.3222356243491893, 'H': -0.26453090621510084}, {'B': 0.22767599703010927, 'D': 0.48824584732158716, 'F': 0.48451630848445015, 'H': 0.46345478653083305}, {'B': -0.22867599703010927, 'D': -0.48924584732158716, 'F': -0.48551630848445015, 'H': -0.46445478653083305}, {'B': 0.3534682131679393, 'D': 0.05190112656518015, 'F': 0.30374836432268576, 'H': 0.39000830709766776}, {'B': -0.3544682131679393, 'D': -0.05290112656518015, 'F': -0.30474836432268576, 'H': -0.39100830709766776}, {'B': 0.0881430297209213, 'D': 0.10937607130501174, 'F': 0.16449419910136553, 'H': 0.2841130881382575}, {'B': -0.08914302972092131, 'D': -0.11037607130501174, 'F': -0.16549419910136554, 'H': -0.2851130881382575}, {'A': 0.06727885721414881, 'C': 0.2733944970880187, 'E': 0.05507651106102024, 'G': 0.12020442678606623}, {'A': -0.06827885721414881, 'C': -0.2743944970880187, 'E': -0.05607651106102024, 'G': -0.12120442678606623}]
[{'B': 0.09642413437474931, 'D': 0.4936113252038153, 'F': 0.1130728337211464, 'H': 0.49447183365533054}, {'B': -0.09742413437474931, 'D': -0.4946113252038153, 'F': -0.1140728337211464, 'H': -0.49547183365533054}, {'B': 0.18588891780233302, 'D': 0.312879063043516, 'F': 0.4254112620952707, 'H': 0.43768636851782083}, {'B': -0.18688891780233302, 'D': -0.313879063043516, 'F': -0.4264112620952707, 'H': -0.43868636851782083}, {'A': 0.13130657657015135, 'C': 0.05373093508396706, 'E': 0.4845328168805909, 'G': 0.2839151929811678}, {'A': -0.13230657657015135, 'C': -0.054730935083967064, 'E': -0.4855328168805909, 'G': -0.2849151929811678}, {'B': 0.3179119261774887, 'D': 0.38555402731425, 'F': 0.38937330984066093, 'H': 0.33747304643252657}, {'B': -0.3189119261774887, 'D': -0.38655402731425, 'F': -0.39037330984066093, 'H': -0.33847304643252657}, {'B': 0.20490281028587093, 'D': 0.17368282158565568, 'F': 0.2901223672644154, 'H': 0.31641976062691474}, {'B': -0.20590281028587093, 'D': -0.17468282158565568, 'F': -0.2911223672644154, 'H': -0.31741976062691474}, {'A': 0.10807544200967067, 'C': 0.41682621598015374, 'E': 0.331041950947385, 'G': 0.4799657725651644}, {'A': -0.10907544200967068, 'C': -0.41782621598015374, 'E': -0.332041950947385, 'G': -0.4809657725651644}, {'A': 0.0825735856896955, 'C': 0.06544744246940759, 'E': 0.3929129775366772, 'G': 0.2372580114938232}, {'A': -0.0835735856896955, 'C': -0.06644744246940759, 'E': -0.3939129775366772, 'G': -0.2382580114938232}, {'B': 0.4546827060035278, 'D': 0.050193015864046946, 'F': 0.4753503748104018, 'H': 0.4332814761191074}, {'B': -0.4556827060035278, 'D': -0.05119301586404695, 'F': -0.4763503748104018, 'H': -0.4342814761191074}, {'A': 0.06264115449635609, 'C': 0.20686576514535, 'E': 0.13736753780910463, 'G': 0.35591702582429274}, {'A': -0.06364115449635609, 'C': -0.20786576514535, 'E': -0.13836753780910463, 'G': -0.35691702582429274}, {'A': 0.14029800180125968, 'C': 0.21894169056568275, 'E': 0.2684784783163533, 'G': 0.3083931921844597}, {'A': -0.14129800180125968, 'C': -0.21994169056568275, 'E': -0.2694784783163533, 'G': -0.3093931921844597}]
[{'A': 0.1861811915489303, 'C': 0.2920419300571999, 'E': 0.19867083399933638, 'G': 0.1016247935731519}, {'A': -0.18718119154893031, 'C': -0.2930419300571999, 'E': -0.19967083399933638, 'G': -0.1026247935731519}, {'A': 0.1817003307813388, 'C': 0.08212792592775067, 'E': 0.1086729264316103, 'G': 0.482664614064457}, {'A': -0.1827003307813388, 'C': -0.08312792592775067, 'E': -0.10967292643161031, 'G': -0.483664614064457}, {'B': 0.06125852742599514, 'D': 0.3122489989282233, 'F': 0.41904190780659, 'H': 0.4206273870555731}, {'B': -0.06225852742599514, 'D': -0.3132489989282233, 'F': -0.42004190780659, 'H': -0.4216273870555731}, {'B': 0.13047932340009277, 'D': 0.4864998244062952, 'F': 0.40026411153857994, 'H': 0.43560123076902785}, {'B': -0.13147932340009277, 'D': -0.4874998244062952, 'F': -0.40126411153857994, 'H': -0.43660123076902785}, {'A': 0.45081282440873566, 'C': 0.4571075420826271, 'E': 0.44262343193857584, 'G': 0.16233095898451505}, {'A': -0.45181282440873566, 'C': -0.4581075420826271, 'E': -0.44362343193857584, 'G': -0.16333095898451505}, {'B': 0.425992763417242, 'D': 0.24883651271843127, 'F': 0.3976893992010267, 'H': 0.3347934525591304}, {'B': -0.426992763417242, 'D': -0.24983651271843127, 'F': -0.3986893992010267, 'H': -0.3357934525591304}, {'A': 0.3263213103530371, 'C': 0.38772235815691997, 'E': 0.23713925544800807, 'G': 0.46670528632250596}, {'A': -0.3273213103530371, 'C': -0.38872235815691997, 'E': -0.23813925544800807, 'G': -0.46770528632250596}, {'B': 0.19739288706904456, 'D': 0.27423654938901726, 'F': 0.12184602818310367, 'H': 0.34045904511398345}, {'B': -0.19839288706904457, 'D': -0.27523654938901726, 'F': -0.12284602818310367, 'H': -0.34145904511398345}, {'B': 0.3003374179264076, 'D': 0.0923603321150441, 'F': 0.14429265585919943, 'H': 0.3931295372897691}, {'B': -0.3013374179264076, 'D': -0.0933603321150441, 'F': -0.14529265585919943, 'H': -0.3941295372897691}, {'B': 0.05092024758855469, 'D': 0.19938611223029445, 'F': 0.21319156931643513, 'H': 0.13666012608761088}, {'B': -0.051920247588554694, 'D': -0.20038611223029446, 'F': -0.21419156931643513, 'H': -0.13766012608761088}]
[{'A': 0.2638044861002908, 'C': 0.46496304555050405, 'E': 0.3811252552688262, 'G': 0.18094447521119544}, {'A': -0.2648044861002908, 'C': -0.46596304555050405, 'E': -0.3821252552688262, 'G': -0.18194447521119544}, {'A': 0.49831970542289, 'C': 0.37520990025787815, 'E': 0.28758582137327227, 'G': 0.35601314489268493}, {'A': -0.49931970542289, 'C': -0.37620990025787815, 'E': -0.28858582137327227, 'G': -0.35701314489268493}, {'A': 0.384399218189186, 'C': 0.4970097260027378, 'E': 0.4259463173313681, 'G': 0.167349737583674}, {'A': -0.385399218189186, 'C': -0.4980097260027378, 'E': -0.4269463173313681, 'G': -0.168349737583674}, {'A': 0.2865292385661453, 'C': 0.06411206226627682, 'E': 0.25805716332513495, 'G': 0.4820898705749758}, {'A': -0.2875292385661453, 'C': -0.06511206226627682, 'E': -0.25905716332513495, 'G': -0.4830898705749758}, {'B': 0.35166926158575346, 'D': 0.17035950724513071, 'F': 0.17673668216897448, 'H': 0.15656631882532196}, {'B': -0.35266926158575346, 'D': -0.17135950724513072, 'F': -0.17773668216897448, 'H': -0.15756631882532196}, {'A': 0.3765346583977463, 'C': 0.0773071671418451, 'E': 0.1861538942163678, 'G': 0.4296181170881992}, {'A': -0.3775346583977463, 'C': -0.0783071671418451, 'E': -0.1871538942163678, 'G': -0.4306181170881992}, {'B': 0.3165182390486194, 'D': 0.11624269731801234, 'F': 0.4631311717574334, 'H': 0.24805104043676884}, {'B': -0.3175182390486194, 'D': -0.11724269731801235, 'F': -0.4641311717574334, 'H': -0.24905104043676884}, {'A': 0.4982034167119488, 'C': 0.08663063994552828, 'E': 0.288995960432908, 'G': 0.39760952157502066}, {'A': -0.4992034167119488, 'C': -0.08763063994552828, 'E': -0.289995960432908, 'G': -0.39860952157502066}, {'B': 0.47196101439687155, 'D': 0.3200813364620574, 'F': 0.2894572791066983, 'H': 0.36035674982102067}, {'B': -0.47296101439687155, 'D': -0.3210813364620574, 'F': -0.2904572791066983, 'H': -0.3613567498210207}, {'B': 0.43675752561751524, 'D': 0.07488853388883397, 'F': 0.39681562694343153, 'H': 0.15103007958417985}, {'B': -0.43775752561751524, 'D': -0.07588853388883397, 'F': -0.39781562694343153, 'H': -0.15203007958417986}]
[{'B': 0.18545913568173128, 'D': 0.4781945659569183, 'F': 0.3507939346112245, 'H': 0.4269624341920601}, {'B': -0.18645913568173128, 'D': -0.4791945659569183, 'F': -0.3517939346112245, 'H': -0.4279624341920601}, {'B': 0.12500929195784294, 'D': 0.11332011706328628, 'F': 0.08781646229053784, 'H': 0.07150921591303028}, {'B': -0.12600929195784294, 'D': -0.11432011706328628, 'F': -0.08881646229053784, 'H': -0.07250921591303028}, {'B': 0.42840679083961586, 'D': 0.2207933024978212, 'F': 0.05844585093399384, 'H': 0.1529278108703641}, {'B': -0.42940679083961586, 'D': -0.2217933024978212, 'F': -0.05944585093399384, 'H': -0.1539278108703641}, {'A': 0.43184820548224767, 'C': 0.40071073347719505, 'E': 0.15418797063185707, 'G': 0.4388832845159422}, {'A': -0.43284820548224767, 'C': -0.40171073347719505, 'E': -0.15518797063185708, 'G': -0.4398832845159422}, {'A': 0.4860605075616028, 'C': 0.3492246726067257, 'E': 0.12363925169089214, 'G': 0.47628536366305235}, {'A': -0.4870605075616028, 'C': -0.3502246726067257, 'E': -0.12463925169089214, 'G': -0.47728536366305235}, {'A': 0.1047547468872338, 'C': 0.17329723104858047, 'E': 0.2728603644024819, 'G': 0.0957871973662546}, {'A': -0.1057547468872338, 'C': -0.17429723104858047, 'E': -0.2738603644024819, 'G': -0.0967871973662546}, {'A': 0.21608667962070682, 'C': 0.07841740947036034, 'E': 0.17255008247701825, 'G': 0.28954655580918}, {'A': -0.21708667962070682, 'C': -0.07941740947036034, 'E': -0.17355008247701825, 'G': -0.29054655580918}, {'B': 0.4824203545987246, 'D': 0.1414973450085006, 'F': 0.1651544695727253, 'H': 0.2801969359708216}, {'B': -0.4834203545987246, 'D': -0.14249734500850061, 'F': -0.1661544695727253, 'H': -0.2811969359708216}, {'A': 0.27683626513306, 'C': 0.39440241282515065, 'E': 0.28987871870914234, 'G': 0.45889581149299175}, {'A': -0.27783626513306, 'C': -0.39540241282515065, 'E': -0.29087871870914234, 'G': -0.45989581149299175}, {'A': 0.10946004493091313, 'C': 0.29875827703102564, 'E': 0.3039061729365371, 'G': 0.2220201441917355}, {'A': -0.11046004493091313, 'C': -0.29975827703102564, 'E': -0.3049061729365371, 'G': -0.2230201441917355}]
[{'A': 0.4103374061317958, 'C': 0.30488694921220516, 'E': 0.32664195635998433, 'G': 0.442186054304189}, {'A': -0.4113374061317958, 'C': -0.30588694921220516, 'E': -0.32764195635998433, 'G': -0.443186054304189}, {'A': 0.396187258969191, 'C': 0.4936267786707336, 'E': 0.29619089405372667, 'G': 0.2879203713220208}, {'A': -0.397187258969191, 'C': -0.4946267786707336, 'E': -0.2971908940537267, 'G': -0.2889203713220208}, {'A': 0.4069353492912183, 'C': 0.18713135664595737, 'E': 0.13225304142625738, 'G': 0.13087534505407802}, {'A': -0.4079353492912183, 'C': -0.18813135664595737, 'E': -0.13325304142625738, 'G': -0.13187534505407802}, {'B': 0.1368490092719972, 'D': 0.07978320059788073, 'F': 0.17335692840980937, 'H': 0.12248409539464247}, {'B': -0.1378490092719972, 'D': -0.08078320059788073, 'F': -0.17435692840980938, 'H': -0.12348409539464247}, {'B': 0.33537249954810705, 'D': 0.3744042299277757, 'F': 0.09552251649581414, 'H': 0.30701377201978414}, {'B': -0.33637249954810705, 'D': -0.3754042299277757, 'F': -0.09652251649581414, 'H': -0.30801377201978414}, {'A': 0.2811392078737333, 'C': 0.29136200616092506, 'E': 0.28013024716956847, 'G': 0.2560758568109267}, {'A': -0.2821392078737333, 'C': -0.29236200616092506, 'E': -0.28113024716956847, 'G': -0.2570758568109267}, {'B': 0.08481239072901534, 'D': 0.46873493535379945, 'F': 0.49227694611056105, 'H': 0.2554945285516187}, {'B': -0.08581239072901534, 'D': -0.46973493535379945, 'F': -0.49327694611056105, 'H': -0.2564945285516187}, {'A': 0.2122510365711871, 'C': 0.3697963596403302, 'E': 0.30675960277875575, 'G': 0.11401286916477504}, {'A': -0.2132510365711871, 'C': -0.3707963596403302, 'E': -0.30775960277875575, 'G': -0.11501286916477504}, {'B': 0.41786135821042353, 'D': 0.14346050251176096, 'F': 0.17690074273215772, 'H': 0.12196721008539413}, {'B': -0.41886135821042353, 'D': -0.14446050251176096, 'F': -0.17790074273215772, 'H': -0.12296721008539413}, {'B': 0.43182001630161576, 'D': 0.2661637787966566, 'F': 0.1392882230479785, 'H': 0.2914418596889696}, {'B': -0.43282001630161576, 'D': -0.2671637787966566, 'F': -0.1402882230479785, 'H': -0.2924418596889696}]
[{'B': 0.32620199560472696, 'D': 0.17748250274097782, 'F': 0.4463931899310712, 'H': 0.06706140402255253}, {'B': -0.32720199560472696, 'D': -0.17848250274097782, 'F': -0.4473931899310712, 'H': -0.06806140402255254}, {'B': 0.4023308642801878, 'D': 0.25925749531245623, 'F': 0.49182370836229583, 'H': 0.34887599151353166}, {'B': -0.40333086428018783, 'D': -0.26025749531245623, 'F': -0.49282370836229583, 'H': -0.34987599151353166}, {'B': 0.4195981132236984, 'D': 0.1181328475169903, 'F': 0.3608214070435909, 'H': 0.1387155986449316}, {'B': -0.4205981132236984, 'D': -0.1191328475169903, 'F': -0.3618214070435909, 'H': -0.1397155986449316}, {'A': 0.41444563112534827, 'C': 0.36845500695366346, 'E': 0.3020918757776124, 'G': 0.10498120745590783}, {'A': -0.41544563112534827, 'C': -0.36945500695366346, 'E': -0.3030918757776124, 'G': -0.10598120745590783}, {'A': 0.14196310474357737, 'C': 0.3438487121847646, 'E': 0.09859804507924427, 'G': 0.3072005054510233}, {'A': -0.14296310474357737, 'C': -0.3448487121847646, 'E': -0.09959804507924427, 'G': -0.3082005054510233}, {'B': 0.22718107007436278, 'D': 0.49252326989143114, 'F': 0.05765181468073204, 'H': 0.27783380954292575}, {'B': -0.22818107007436278, 'D': -0.49352326989143114, 'F': -0.058651814680732044, 'H': -0.27883380954292575}, {'B': 0.4786980968403422, 'D': 0.27062883339825206, 'F': 0.3544331179185605, 'H': 0.1208714537735418}, {'B': -0.4796980968403422, 'D': -0.27162883339825206, 'F': -0.3554331179185605, 'H': -0.1218714537735418}, {'A': 0.3240908747227905, 'C': 0.39199353420816824, 'E': 0.4189006109007551, 'G': 0.1578287712775479}, {'A': -0.3250908747227905, 'C': -0.39299353420816824, 'E': -0.4199006109007551, 'G': -0.1588287712775479}, {'A': 0.1708072879222567, 'C': 0.4143023044256371, 'E': 0.3987456691970866, 'G': 0.07432570708491151}, {'A': -0.1718072879222567, 'C': -0.4153023044256371, 'E': -0.3997456691970866, 'G': -0.07532570708491151}, {'B': 0.05467658820952675, 'D': 0.10608423915030687, 'F': 0.08201572897282136, 'H': 0.44842658120128515}, {'B': -0.05567658820952675, 'D': -0.10708423915030688, 'F': -0.08301572897282136, 'H': -0.44942658120128515}]
[{'A': 0.4887133658657035, 'C': 0.3275881452663273, 'E': 0.18516165820594938, 'G': 0.12016432603711434}, {'A': -0.4897133658657035, 'C': -0.3285881452663273, 'E': -0.18616165820594938, 'G': -0.12116432603711434}, {'A': 0.3557822642486507, 'C': 0.408182212736305, 'E': 0.07636998281822864, 'G': 0.4049746115565138}, {'A': -0.3567822642486507, 'C': -0.409182212736305, 'E': -0.07736998281822864, 'G': -0.4059746115565138}, {'B': 0.2502560334435866, 'D': 0.11305595894117014, 'F': 0.256399041087896, 'H': 0.4738707051353677}, {'B': -0.2512560334435866, 'D': -0.11405595894117014, 'F': -0.257399041087896, 'H': -0.4748707051353677}, {'A': 0.09172238454113249, 'C': 0.3108312479217114, 'E': 0.378354201237357, 'G': 0.11223733432816022}, {'A': -0.09272238454113249, 'C': -0.3118312479217114, 'E': -0.379354201237357, 'G': -0.11323733432816022}, {'B': 0.2908415136287358, 'D': 0.29548426455683396, 'F': 0.430944182051022, 'H': 0.15306074040568643}, {'B': -0.2918415136287358, 'D': -0.29648426455683397, 'F': -0.431944182051022, 'H': -0.15406074040568643}, {'B': 0.14918779804564433, 'D': 0.12542724929401916, 'F': 0.3433010882259017, 'H': 0.3229730192481567}, {'B': -0.15018779804564433, 'D': -0.12642724929401916, 'F': -0.3443010882259017, 'H': -0.3239730192481567}, {'B': 0.21964800729757816, 'D': 0.350218662779013, 'F': 0.11069921300451865, 'H': 0.32014848655320055}, {'B': -0.22064800729757816, 'D': -0.351218662779013, 'F': -0.11169921300451865, 'H': -0.32114848655320055}, {'A': 0.34853155245802175, 'C': 0.4352200640657275, 'E': 0.09554490577719016, 'G': 0.07637884011244131}, {'A': -0.34953155245802175, 'C': -0.4362200640657275, 'E': -0.09654490577719016, 'G': -0.07737884011244131}, {'B': 0.3785189086520472, 'D': 0.47160450703897094, 'F': 0.3967754643236312, 'H': 0.2573719218718179}, {'B': -0.3795189086520472, 'D': -0.47260450703897094, 'F': -0.3977754643236312, 'H': -0.2583719218718179}, {'B': 0.4218535914733016, 'D': 0.08558120978905925, 'F': 0.21775566000761126, 'H': 0.34425898945313843}, {'B': -0.4228535914733016, 'D': -0.08658120978905925, 'F': -0.21875566000761126, 'H': -0.34525898945313843}]
[{'A': 0.45120631272258044, 'C': 0.34840188389859256, 'E': 0.0906763755556606, 'G': 0.16090019165114205}, {'A': -0.45220631272258044, 'C': -0.34940188389859256, 'E': -0.0916763755556606, 'G': -0.16190019165114206}, {'B': 0.12369335119232179, 'D': 0.06425354547039751, 'F': 0.45443074401567335, 'H': 0.23126128824733827}, {'B': -0.12469335119232179, 'D': -0.06525354547039751, 'F': -0.45543074401567335, 'H': -0.23226128824733827}, {'B': 0.2774830424090536, 'D': 0.3092839042920498, 'F': 0.3151904443066589, 'H': 0.08873212455736201}, {'B': -0.2784830424090536, 'D': -0.31028390429204983, 'F': -0.3161904443066589, 'H': -0.08973212455736201}, {'A': 0.1822465151439383, 'C': 0.35687239156614203, 'E': 0.3325129821619054, 'G': 0.440290787998568}, {'A': -0.1832465151439383, 'C': -0.35787239156614203, 'E': -0.3335129821619054, 'G': -0.441290787998568}, {'B': 0.19451250030345263, 'D': 0.33347877280381083, 'F': 0.11512209877272388, 'H': 0.28791608658985524}, {'B': -0.19551250030345263, 'D': -0.33447877280381083, 'F': -0.11612209877272388, 'H': -0.28891608658985524}, {'B': 0.4284681827717376, 'D': 0.46665361213164036, 'F': 0.2977919501813335, 'H': 0.47829396518054834}, {'B': -0.4294681827717376, 'D': -0.46765361213164036, 'F': -0.2987919501813335, 'H': -0.47929396518054834}, {'B': 0.345925474487022, 'D': 0.14211002888661056, 'F': 0.1629033739270675, 'H': 0.32403003792011464}, {'B': -0.346925474487022, 'D': -0.14311002888661056, 'F': -0.1639033739270675, 'H': -0.32503003792011465}, {'A': 0.46089886553917475, 'C': 0.08023118985846611, 'E': 0.25779262170998785, 'G': 0.10395662286119609}, {'A': -0.46189886553917475, 'C': -0.08123118985846611, 'E': -0.25879262170998785, 'G': -0.10495662286119609}, {'B': 0.3403045554011115, 'D': 0.4342940138149603, 'F': 0.1667551759989179, 'H': 0.29431804865636757}, {'B': -0.3413045554011115, 'D': -0.4352940138149603, 'F': -0.1677551759989179, 'H': -0.29531804865636757}, {'B': 0.08487062304503953, 'D': 0.10136208544881778, 'F': 0.3157065348739996, 'H': 0.4876581664746851}, {'B': -0.08587062304503953, 'D': -0.10236208544881778, 'F': -0.3167065348739996, 'H': -0.4886581664746851}]
[{'B': 0.48645915716887056, 'D': 0.3387464780621713, 'F': 0.07198306655623726, 'H': 0.1851686401413798}, {'B': -0.48745915716887056, 'D': -0.3397464780621713, 'F': -0.07298306655623726, 'H': -0.1861686401413798}, {'B': 0.35082408188895814, 'D': 0.24694369675469852, 'F': 0.22268608208126262, 'H': 0.11750090788613629}, {'B': -0.35182408188895814, 'D': -0.24794369675469852, 'F': -0.22368608208126262, 'H': -0.11850090788613629}, {'B': 0.3439885474986629, 'D': 0.41671426281726137, 'F': 0.26335668508460836, 'H': 0.2860097131110431}, {'B': -0.3449885474986629, 'D': -0.4177142628172614, 'F': -0.26435668508460836, 'H': -0.2870097131110431}, {'B': 0.3511368692274386, 'D': 0.36054918732628505, 'F': 0.10563386643680492, 'H': 0.13816901304723042}, {'B': -0.3521368692274386, 'D': -0.36154918732628505, 'F': -0.10663386643680492, 'H': -0.13916901304723042}, {'B': 0.4669803890514046, 'D': 0.41172460729480487, 'F': 0.17148037635591823, 'H': 0.10848776147213252}, {'B': -0.4679803890514046, 'D': -0.41272460729480487, 'F': -0.17248037635591823, 'H': -0.10948776147213252}, {'A': 0.15114461142912214, 'C': 0.42006212595750464, 'E': 0.3206304033138305, 'G': 0.4530479259865048}, {'A': -0.15214461142912214, 'C': -0.42106212595750464, 'E': -0.3216304033138305, 'G': -0.4540479259865048}, {'B': 0.1444827708596395, 'D': 0.08739643538414113, 'F': 0.06398365730421304, 'H': 0.0683652769533575}, {'B': -0.1454827708596395, 'D': -0.08839643538414113, 'F': -0.06498365730421304, 'H': -0.06936527695335751}, {'A': 0.2985540970524392, 'C': 0.4041234866912186, 'E': 0.06904383905616836, 'G': 0.31754303395841516}, {'A': -0.2995540970524392, 'C': -0.4051234866912186, 'E': -0.07004383905616836, 'G': -0.31854303395841516}, {'B': 0.22228148682506504, 'D': 0.3700123952640388, 'F': 0.29404785668274436, 'H': 0.3143183872811605}, {'B': -0.22328148682506505, 'D': -0.3710123952640388, 'F': -0.29504785668274436, 'H': -0.3153183872811605}, {'A': 0.29959241402015785, 'C': 0.2787522239340719, 'E': 0.3198021152426233, 'G': 0.4340679398247227}, {'A': -0.30059241402015785, 'C': -0.2797522239340719, 'E': -0.3208021152426233, 'G': -0.4350679398247227}]
[{'B': 0.32966370052326543, 'D': 0.2769208171246633, 'F': 0.191779712765621, 'H': 0.22070709809092076}, {'B': -0.33066370052326544, 'D': -0.2779208171246633, 'F': -0.192779712765621, 'H': -0.22170709809092076}, {'A': 0.3578110988258501, 'C': 0.4481738116876571, 'E': 0.46586696391684695, 'G': 0.18335781426609676}, {'A': -0.3588110988258501, 'C': -0.4491738116876571, 'E': -0.46686696391684696, 'G': -0.18435781426609676}, {'A': 0.20650504878396836, 'C': 0.11127416572878104, 'E': 0.2654183320616013, 'G': 0.2575345149526904}, {'A': -0.20750504878396836, 'C': -0.11227416572878104, 'E': -0.2664183320616013, 'G': -0.2585345149526904}, {'A': 0.235403536956788, 'C': 0.14344564622221775, 'E': 0.4328259418155383, 'G': 0.1071627285342441}, {'A': -0.236403536956788, 'C': -0.14444564622221776, 'E': -0.4338259418155383, 'G': -0.1081627285342441}, {'B': 0.19571314795609468, 'D': 0.39447541006374565, 'F': 0.3554024651616611, 'H': 0.351210711564817}, {'B': -0.19671314795609468, 'D': -0.39547541006374565, 'F': -0.3564024651616611, 'H': -0.352210711564817}, {'B': 0.16537041201191477, 'D': 0.3695695545762899, 'F': 0.42440187043369165, 'H': 0.2772814547083182}, {'B': -0.16637041201191477, 'D': -0.37056955457628993, 'F': -0.42540187043369165, 'H': -0.2782814547083182}, {'B': 0.4191048534096391, 'D': 0.07067481118120161, 'F': 0.47877727949916615, 'H': 0.2438482023246049}, {'B': -0.4201048534096391, 'D': -0.07167481118120161, 'F': -0.47977727949916615, 'H': -0.2448482023246049}, {'B': 0.49546271504506023, 'D': 0.4063922958532691, 'F': 0.3890055991698712, 'H': 0.07426000563894397}, {'B': -0.49646271504506023, 'D': -0.4073922958532691, 'F': -0.3900055991698712, 'H': -0.07526000563894397}, {'A': 0.11018685420979202, 'C': 0.406213551907547, 'E': 0.13689575562732678, 'G': 0.11058715765773655}, {'A': -0.11118685420979202, 'C': -0.407213551907547, 'E': -0.13789575562732678, 'G': -0.11158715765773655}, {'A': 0.29555451668636407, 'C': 0.47213721080463916, 'E': 0.45051150133184964, 'G': 0.10787098752222421}, {'A': -0.29655451668636407, 'C': -0.47313721080463916, 'E': -0.45151150133184964, 'G': -0.10887098752222421}]
[{'A': 0.2099248348054314, 'C': 0.47466673088695105, 'E': 0.05061082523257498, 'G': 0.34175898240899677}, {'A': -0.2109248348054314, 'C': -0.47566673088695105, 'E': -0.05161082523257498, 'G': -0.34275898240899677}, {'A': 0.45777606683800254, 'C': 0.37110366905950165, 'E': 0.38593301161883264, 'G': 0.2975746961439182}, {'A': -0.45877606683800254, 'C': -0.37210366905950165, 'E': -0.38693301161883265, 'G': -0.2985746961439182}, {'B': 0.3221055673431717, 'D': 0.05225020468549331, 'F': 0.3265100219731713, 'H': 0.09453037894348576}, {'B': -0.3231055673431717, 'D': -0.05325020468549331, 'F': -0.3275100219731713, 'H': -0.09553037894348576}, {'B': 0.07496975111016219, 'D': 0.3788551247402922, 'F': 0.35926479276140283, 'H': 0.21067394964169206}, {'B': -0.07596975111016219, 'D': -0.3798551247402922, 'F': -0.36026479276140283, 'H': -0.21167394964169206}, {'B': 0.4318434787937637, 'D': 0.3999748402873301, 'F': 0.23649596625006586, 'H': 0.4843516820494394}, {'B': -0.4328434787937637, 'D': -0.4009748402873301, 'F': -0.23749596625006586, 'H': -0.4853516820494394}, {'B': 0.24472136125398497, 'D': 0.11128651268148523, 'F': 0.43666785019467097, 'H': 0.4482247022973772}, {'B': -0.24572136125398497, 'D': -0.11228651268148523, 'F': -0.43766785019467097, 'H': -0.4492247022973772}, {'A': 0.16751436290734917, 'C': 0.22080000730521937, 'E': 0.23067079009677388, 'G': 0.13923226282501588}, {'A': -0.16851436290734917, 'C': -0.22180000730521937, 'E': -0.23167079009677388, 'G': -0.14023226282501589}, {'B': 0.41820088775720965, 'D': 0.42362955564043453, 'F': 0.22874475079186285, 'H': 0.15886143444445985}, {'B': -0.41920088775720965, 'D': -0.42462955564043453, 'F': -0.22974475079186285, 'H': -0.15986143444445985}, {'B': 0.10641837534600733, 'D': 0.21135244115477297, 'F': 0.18518401785624672, 'H': 0.4370371431900349}, {'B': -0.10741837534600733, 'D': -0.21235244115477298, 'F': -0.18618401785624672, 'H': -0.4380371431900349}, {'A': 0.11503262247564167, 'C': 0.49635885247309175, 'E': 0.2011728323280092, 'G': 0.17725944140211108}, {'A': -0.11603262247564167, 'C': -0.49735885247309175, 'E': -0.2021728323280092, 'G': -0.17825944140211109}]
